ORF1,ORF2
YMR047C,YGR218W
YOR128C,YCR067C
YLL028W,YHR188C
YMR292W,YDR414C
YNL078W,YMR047C
YHR187W,YGR200C
YGR260W,YDR297W
YPL217C,YOR080W
YNL189W,YDR138W
YJL075C,YDL100C
YNL230C,YKL172W
YHL004W,YGR084C
YOR230W,YIL142W
YOL090W,YNL082W
YOR174W,YDR308C
YJL173C,YDR127W
YLR147C,YKR080W
YOL054W,YLL019C
YPL022W,YER168C
YMR106C,YBR126C
YLR298C,YIL061C
YGL250W,YGL127C
YPL043W,YLR106C
YOL149W,YMR047C
YHR135C,YGR154C
YLR243W,YHR016C
YGR136W,YER125W
YNL175C,YLL008W
YKR001C,YJL141C
YLR342W,YBR254C
YLR288C,YER022W
YHR089C,YBL004W
YPR086W,YNL062C
YLR246W,YKL146W
YER118C,YCL027W
YOR250C,YDR228C
YOL088C,YHR091C
YBR143C,YBR084W
YOR185C,YOR171C
YOR304W,YLR347C
YMR100W,YMR049C
YMR268C,YJR022W
YNL002C,YBR142W
YNL104C,YKL183W
YHR086W,YGR013W
YGL079W,YEL005C
YMR187C,YDR034C
YDR499W,YBR009C
YML112W,YDR169C
YNL085W,YDL188C
YOL087C,YNL138W
YNR053C,YKR081C
YGR295C,YDR034C
YNR050C,YNL292W
YDR318W,YDL181W
YDR283C,YBL074C
YPR072W,YGR134W
YMR319C,YGR173W
YLR310C,YBL075C
YML048W,YLL028W
YMR106C,YGR267C
YOL086C,YAL034C
YKL056C,YDL200C
YOR311C,YER118C
YPR072W,YDL165W
YMR319C,YER075C
YLR451W,YHR166C
YNL035C,YDR122W
YLR074C,YDR224C
YOR344C,YMR047C
YML130C,YAL042W
YJL081C,YHR099W
YBL106C,YAR018C
YLR045C,YCL029C
YNL095C,YLR207W
YJL135W,YER082C
YKL059C,YDR301W
YNL032W,YJL124C
YIL035C,YGL115W
YPR193C,YNL189W
YLR034C,YBR235W
YLR258W,YJL020C
YJR072C,YGR262C
YKL029C,YDL047W
YJL063C,YHL024W
YOL006C,YLR304C
YIL034C,YBR264C
YOR115C,YBR254C
YPL188W,YGL181W
YNL124W,YDL208W
YPL018W,YKL049C
YLR430W,YER133W
YGL198W,YDR311W
YOR329C,YGR218W
YKL129C,YJL095W
YDR369C,YBR063C
YNL005C,YBL038W
YNL053W,YBL016W
YIL111W,YDR254W
YOR336W,YER022W
YMR186W,YDR127W
YJR112W,YDR150W
YLR288C,YGL090W
YOR243C,YBR251W
YPL204W,YOR061W
YOR361C,YLR359W
YLR370C,YKL013C
YPL169C,YBR072W
YGR285C,YBR084W
YLR095C,YFR013W
YLR447C,YBR122C
YOR089C,YKR014C
YPL043W,YLR197W
YMR068W,YIL105C
YDR155C,YDL101C
YMR264W,YBR298C
YLR368W,YDR328C
YML048W,YBR036C
YPR086W,YAR066W
YNL078W,YHR114W
YDL160C,YCR077C
YJR091C,YDL125C
YPL259C,YPL043W
YER145C,YER081W
YNL088W,YMR246W
YOR061W,YER164W
YFL048C,YBR159W
YPL076W,YKL154W
YFR024C,YBL007C
YGR125W,YDR297W
YER177W,YDR028C
YER025W,YDL059C
YLR295C,YKL060C
YOL113W,YLR450W
YKL008C,YGR060W
YOR310C,YCL054W
YJR091C,YGL198W
YMR153W,YJL039C
YML099C,YDR207C
YOR047C,YJL048C
YIL150C,YEL032W
YPR182W,YLR147C
YIL034C,YBR119W
YMR273C,YCR033W
YER148W,YDL165W
YLR098C,YDL076C
YOR005C,YGL090W
YLL011W,YIL142W
YNL318C,YCR061W
YNL223W,YFL037W
YFL016C,YER179W
YNL277W,YBR119W
YHR027C,YBR217W
YNL229C,YJR066W
YNL330C,YJR032W
YOR373W,YNL225C
YMR125W,YGR162W
YPR025C,YOR173W
YOR047C,YER148W
YPL226W,YKL081W
YML064C,YBL112C
YNL085W,YIL143C
YPL011C,YGR274C
YOR005C,YNL061W
YER026C,YBR036C
YPL022W,YOR171C
YJR093C,YGR156W
YJR062C,YBR011C
YPR028W,YLL023C
YLR295C,YJR009C
YPL213W,YIR009W
YPR110C,YHR183W
YML067C,YIL016W
YBR109C,YBR050C
YLR433C,YHR206W
YJR117W,YGR260W
YLR399C,YDL070W
YJR050W,YGR129W
YPR165W,YPL262W
YLR288C,YJL059W
YJR002W,YBR247C
YER039C,YBR106W
YHR133C,YHL047C
YGL112C,YDL087C
YMR012W,YER082C
YNL191W,YBR281C
YOR324C,YOL034W
YOR229W,YOR098C
YPR015C,YMR012W
YPL050C,YEL036C
YNR041C,YML123C
YOL149W,YDR206W
YPR178W,YNL147W
YLL042C,YBR217W
YOL102C,YDL014W
YDR227W,YDL042C
YKR026C,YGL206C
YLR016C,YGL174W
YKL002W,YBR262C
YJR132W,YER122C
YDR506C,YDL015C
YOL062C,YBL037W
YPL242C,YFL039C
YPL264C,YEL004W
YGL172W,YDR335W
YDL065C,YCR038C
